date,close,stt02_bs,BP,BR,R,buy
2017-02-27 09:00:00,21045.0,,,,,
2017-02-27 09:02:00,20985.0,,,,,
2017-02-27 09:03:00,20985.0,,,,,
2017-02-27 09:04:00,20990.0,,,,,
2017-02-27 09:05:00,21015.0,,,,,
2017-02-27 09:06:00,21075.0,,,,,
2017-02-27 09:08:00,21030.0,,,,,
2017-02-27 09:09:00,21035.0,,,,,
2017-02-27 09:10:00,21055.0,,,,,
2017-02-27 09:11:00,21070.0,,,,,
2017-02-27 09:12:00,21085.0,,,,,
2017-02-27 09:13:00,21105.0,,,,,
2017-02-27 09:14:00,21100.0,,,,,
2017-02-27 09:15:00,21070.0,,,,,
2017-02-27 09:16:00,21050.0,,,,,
2017-02-27 09:17:00,21040.0,,,,,
2017-02-27 09:19:00,21035.0,,,,,
2017-02-27 09:20:00,21025.0,,,,,
2017-02-27 09:21:00,21025.0,,,,,
2017-02-27 09:22:00,21035.0,,,,,
2017-02-27 09:23:00,21050.0,,,,,
2017-02-27 09:26:00,21035.0,,,,,
2017-02-27 09:27:00,21040.0,,,,,
2017-02-27 09:29:00,21095.0,,,,,
2017-02-27 09:31:00,21090.0,,,,,
2017-02-27 09:35:00,21060.0,,,,,
2017-02-27 09:36:00,21080.0,,,,,
2017-02-27 09:37:00,21035.0,,,,,
2017-02-27 09:38:00,21040.0,,,,,
2017-02-27 09:39:00,21040.0,,,,,
2017-02-27 09:42:00,21015.0,,,,,
2017-02-27 09:43:00,21025.0,,,,,
2017-02-27 09:45:00,21060.0,,,,,
2017-02-27 09:46:00,21040.0,,,,,
2017-02-27 09:47:00,21060.0,,,,,
2017-02-27 09:48:00,21060.0,,,,,
2017-02-27 09:49:00,21025.0,,,,,
2017-02-27 09:50:00,21050.0,,,,,
2017-02-27 09:51:00,21010.0,,,,,
2017-02-27 09:52:00,21010.0,,,,,
2017-02-27 09:55:00,21010.0,,,,,
2017-02-27 09:56:00,21060.0,,,,,
2017-02-27 09:57:00,21065.0,,,,,
2017-02-27 09:58:00,21040.0,,,,,
2017-02-27 09:59:00,21085.0,,,,,
2017-02-27 10:00:00,21045.0,,,,,
2017-02-27 10:02:00,21010.0,,,,,
2017-02-27 10:03:00,20905.0,,,,,
2017-02-27 10:05:00,20900.0,,,,,
2017-02-27 10:06:00,20900.0,,,,,
2017-02-27 10:07:00,20900.0,,,,,
2017-02-27 10:14:00,20960.0,,,,,
2017-02-27 10:31:00,20960.0,,,,,
